iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
SRB,Serbia,Europe,2022,8534688.0,47.71,1150237.0,4927.0,6871547,167391.2730277476,717.0146693313746,9.65742779,Europe & Central Asia,Upper middle income,0.42934782608695654,0.8369565217391305,0.09782608695652173,0.43179347826086956,116
ALB,Albania,Europe,2022,3025728.0,44.68,125449.0,409.0,2842318,44136.159289706506,143.8966364776918,6.19368076,Europe & Central Asia,Upper middle income,0.375,0.47282608695652173,0.4782608695652174,0.43043478260869567,117
NGA,Nigeria,Africa,2022,102292641.0,27.39,30401.0,141.0,218541216,139.1087711345031,0.6451872218007609,4.27090406,Sub-Saharan Africa,Lower middle income,0.1956521739130435,0.22826086956521738,0.9510869565217391,0.4304347826086956,118
JOR,Jordan,Asia,2022,10057975.0,40.39,695576.0,1678.0,11285875,61632.4387785617,148.6814270049952,6.82820034,Middle East & North Africa,Lower middle income,0.33695652173913043,0.5434782608695652,0.47282608695652173,0.4293478260869565,119
KNA,Saint Kitts and Nevis,North America,2022,64297.0,56.63,3726.0,18.0,47681,78144.33422117826,377.5088609718756,5.56801701,Latin America & Caribbean,High income,0.5380434782608695,0.40217391304347827,0.27717391304347827,0.4258152173913043,120
SOM,Somalia,Africa,2022,8520930.0,35.94,3768.0,28.0,17597508,214.12122671005463,1.5911343810725929,2.62183189,Sub-Saharan Africa,Low income,0.29347826086956524,0.043478260869565216,0.9293478260869565,0.4217391304347826,121
TCD,Chad,Africa,2022,3891785.0,20.45,1948.0,13.0,17723312,109.91173658738276,0.7334972154188789,4.52549791,Sub-Saharan Africa,Low income,0.14130434782608695,0.27717391304347827,0.9456521739130435,0.4165760869565217,122
POL,Poland,Europe,2022,57786691.0,56.76,2314550.0,24145.0,39857144,58071.14528828257,605.7885130956699,6.39626455,Europe & Central Asia,High income,0.5434782608695652,0.4945652173913043,0.15217391304347827,0.4138586956521739,123
GTM,Guatemala,North America,2022,19955569.0,39.38,570615.0,3895.0,17843914,31978.12991028762,218.2817065807423,7.44098806,Latin America & Caribbean,Upper middle income,0.30978260869565216,0.6195652173913043,0.3967391304347826,0.41331521739130433,124
TGO,Togo,Africa,2022,3396543.0,16.45,11349.0,44.0,8848700,1282.5612801880502,4.972481833489665,6.04134083,Sub-Saharan Africa,Low income,0.09239130434782608,0.45108695652173914,0.8478260869565217,0.408695652173913,125
EGY,Egypt,Africa,2022,100993230.0,36.12,134994.0,3231.0,110990096,1216.2706841878935,29.11070551736436,4.70438385,Middle East & North Africa,Lower middle income,0.29891304347826086,0.32608695652173914,0.6358695652173914,0.4067934782608696,126
TUR,Turkey,Asia,2022,152543341.0,62.31,7717691.0,20116.0,85341248,90433.3037173302,235.7125126644504,3.70338893,Europe & Central Asia,Upper middle income,0.5652173913043478,0.15217391304347827,0.3804347826086957,0.40652173913043477,127
BHS,Bahamas,North America,2022,364701.0,40.4,13861.0,120.0,409989,33808.22412308623,292.6907795087185,7.21692038,Latin America & Caribbean,High income,0.3423913043478261,0.5815217391304348,0.34239130434782605,0.40217391304347827,128
NER,Niger,Africa,2022,7187711.0,20.25,2218.0,40.0,26207982,84.6307052561315,1.5262525745019209,4.35259724,Sub-Saharan Africa,Low income,0.1331521739130435,0.24456521739130435,0.9347826086956522,0.4014945652173913,129
RUS,Russia,Europe,2022,183889038.0,54.54,11372272.0,89165.0,144713312,78584.83675641395,616.1492593024199,6.91986275,Europe & Central Asia,High income,0.4891304347826087,0.5489130434782609,0.1467391304347826,0.4013586956521739,130
